country
ca_fr
ca_en
id_in
id_en
my_en
ua_uk
ua_ru
rs_sr	
gr_el	
gr_en	
lv_lv	
lv_en	
lv_ru
ie_en
lt_lt
at_de
il_en
il_iw
tn_fr
dz_fr
ma_fr
mx_es
co_es	
cl_es
